[2022-06-04 23:20:12,382] Register - Step 01: Navigate to Register Page
[2022-06-04 23:20:13,357] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[2022-06-04 23:20:13,618] Register - Step 03: Enter to LastName Textbox with value is 'FC
[2022-06-04 23:20:13,788] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc9348@gmail.us
[2022-06-04 23:20:14,081] Register - Step 05: Enter to Password Textbox with value is '123456
[2022-06-04 23:20:14,257] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[2022-06-04 23:20:14,417] Register - Step 07: Click To Register Button
[2022-06-04 23:20:15,569] Register - Step 08: Verify Register successful Message is displayed
[2022-06-04 23:20:15,680] Register - Step 09: Click To Logout Link
[2022-06-04 23:20:16,657] Login - Step 01: Navigate To Login Page
[2022-06-04 23:20:17,457] Login - Step 02: Enter to emailAddress Textbox with value is 'afc9348@gmail.us
[2022-06-04 23:20:17,603] Login - Step 03: Enter to Password Textbox with value is '123456
[2022-06-04 23:20:17,752] Login - Step 04: Click To Login Button
[2022-06-04 23:20:18,705] Login - Step 05: Verify 'My Account' Link is Displayed
[2022-06-04 23:20:18,824] Login - Step 06: Navigate To 'My Account' Page
[2022-06-04 23:20:19,715] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-04 23:29:37,675] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-04 23:29:38,588] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-04 23:29:38,818] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-04 23:29:38,950] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc5865@gmail.us
[INFO ] [2022-06-04 23:29:39,090] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-04 23:29:39,219] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-04 23:29:39,345] Register - Step 07: Click To Register Button
[INFO ] [2022-06-04 23:29:40,366] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-04 23:29:40,477] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-04 23:29:41,409] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-04 23:29:42,204] Login - Step 02: Enter to emailAddress Textbox with value is 'afc5865@gmail.us
[INFO ] [2022-06-04 23:29:42,355] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-04 23:29:42,486] Login - Step 04: Click To Login Button
[INFO ] [2022-06-04 23:29:43,652] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-04 23:29:43,804] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-04 23:29:44,537] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-04 23:31:42,030] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-04 23:31:43,126] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-04 23:31:43,382] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-04 23:31:43,543] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc5162@gmail.us
[INFO ] [2022-06-04 23:31:43,675] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-04 23:31:43,803] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-04 23:31:43,921] Register - Step 07: Click To Register Button
[INFO ] [2022-06-04 23:31:44,973] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-04 23:31:45,070]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-04 23:31:45,072] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-04 23:31:46,349] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-04 23:31:47,129] Login - Step 02: Enter to emailAddress Textbox with value is 'afc5162@gmail.us
[INFO ] [2022-06-04 23:31:47,251] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-04 23:31:47,370] Login - Step 04: Click To Login Button
[INFO ] [2022-06-04 23:31:48,318] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-04 23:31:48,432]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-04 23:31:48,433] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-04 23:31:49,117] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-04 23:31:49,231]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-04 23:36:03,140] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-04 23:36:04,625] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-04 23:36:04,915] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-04 23:36:05,213] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc9783@gmail.us
[INFO ] [2022-06-04 23:36:05,586] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-04 23:36:05,710] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-04 23:36:05,864] Register - Step 07: Click To Register Button
[INFO ] [2022-06-04 23:36:07,246] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-04 23:36:07,400]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-04 23:36:07,402] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-04 23:36:08,546] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-04 23:36:09,294] Login - Step 02: Enter to emailAddress Textbox with value is 'afc9783@gmail.us
[INFO ] [2022-06-04 23:36:09,442] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-04 23:36:09,596] Login - Step 04: Click To Login Button
[INFO ] [2022-06-04 23:36:10,716] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-04 23:36:10,910]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-04 23:36:10,910] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-04 23:36:11,625] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-04 23:36:11,791]  -------------------------- FAILED -------------------------- 
